id,client,p1,p2,p3,date,type,influencer,referer,clientId,influencerId
1000797,c28,17759,9392,14718,2020-08-09,Order,c43,Youtube,28,43
1000798,c38,1443,13542,12411,2020-08-15,Order,c62,Pinterest,38,62
1000799,c50,4442,11742,6867,2020-08-09,Order,c22,Youtube,50,22
1000800,c24,6646,13201,4220,2020-03-18,Order,c19,TikTok,24,19
1000801,c63,18409,15059,19863,2020-04-20,Order,c44,Pinterest,63,44
1000802,c75,10518,11801,12121,2020-07-24,Order,c52,Youtube,75,52
1000803,c2,7108,11281,15029,2020-04-27,Order,c42,Facebook,2,42
1000804,c14,3244,11563,17255,2020-11-21,Order,c47,TikTok,14,47
1000805,c92,4913,19739,10164,2020-01-22,Order,c66,Youtube,92,66
1000806,c40,5033,14356,9724,2020-05-04,Order,c11,Snapchat,40,11
1000807,c39,19696,2417,4282,2020-10-14,Order,c20,Snapchat,39,20
1000808,c19,8824,14936,17036,2020-12-16,Order,c10,TikTok,19,10
1000809,c33,6684,5657,3616,2020-08-03,Order,c39,Youtube,33,39
1000810,c9,14774,10468,9555,2020-08-14,Order,c6,Snapchat,9,6
1000811,c86,4978,12115,8301,2020-08-26,Order,c1,TikTok,86,1
1000812,c96,11141,6321,13076,2020-04-19,Order,c21,Facebook,96,21
1000813,c93,13275,17277,4437,2020-09-17,Order,c26,Instagram,93,26
1000814,c7,18182,18289,8806,2020-04-27,Order,c64,Youtube,7,64
1000815,c2,18830,17197,6654,2020-11-30,Order,c40,Snapchat,2,40
1000816,c83,17220,3985,10104,2020-10-29,Order,c6,Youtube,83,6
1000817,c96,13105,4152,2601,2020-04-11,Order,c42,Youtube,96,42
1000818,c92,1478,10958,18241,2020-09-14,Order,c46,Instagram,92,46
1000819,c1,17148,18403,11727,2020-10-05,Order,c48,Facebook,1,48
1000820,c89,16691,5165,12367,2020-09-20,Order,c44,Pinterest,89,44
1000821,c26,19132,10606,4337,2020-09-05,Order,c24,Snapchat,26,24
1000822,c62,6990,2691,14405,2020-12-10,Order,c28,Facebook,62,28
1000823,c41,7861,2725,18588,2020-07-31,Order,c1,Pinterest,41,1
1000824,c77,15211,9125,19960,2020-11-22,Order,c12,TikTok,77,12
1000825,c54,9431,2958,11740,2020-01-26,Order,c30,Facebook,54,30
1000826,c56,11836,15542,16891,2020-11-26,Order,c40,Snapchat,56,40
1000827,c2,3451,17707,18610,2020-04-22,Order,c32,Youtube,2,32
1000828,c61,5073,12702,19647,2020-09-21,Order,c41,Pinterest,61,41
1000829,c28,4917,4030,6915,2020-03-30,Order,c6,Instagram,28,6
1000830,c28,11027,18306,19663,2020-02-24,Order,c6,TikTok,28,6
1000831,c93,4089,8699,19258,2020-05-01,Order,c20,Instagram,93,20
1000832,c60,1948,10373,2872,2020-01-03,Order,c61,Pinterest,60,61
1000833,c13,18458,3274,10311,2020-02-19,Order,c63,Instagram,13,63
1000834,c87,13851,13364,15988,2020-06-01,Order,c19,Snapchat,87,19
1000835,c87,3159,14489,14001,2020-06-20,Order,c59,Facebook,87,59
1000836,c54,18744,9358,6338,2020-09-12,Order,c7,Youtube,54,7
1000837,c40,11664,18673,19502,2020-04-24,Order,c50,Snapchat,40,50
1000838,c46,15961,18263,15810,2020-07-22,Order,c43,Twitter,46,43
1000839,c76,19385,15323,16697,2020-03-26,Order,c55,Instagram,76,55
1000840,c48,4105,16338,6033,2020-01-25,Order,c1,Instagram,48,1
1000841,c31,17859,12706,17439,2020-04-12,Order,c56,Pinterest,31,56
1000842,c45,13072,14896,1953,2020-01-02,Order,c68,TikTok,45,68
1000843,c78,15854,3913,14508,2020-03-08,Order,c29,Twitter,78,29
1000844,c51,8375,13740,18348,2020-03-07,Order,c61,Facebook,51,61
1000845,c52,9001,15774,12616,2020-05-21,Order,c66,Facebook,52,66
1000846,c93,5190,1392,15085,2020-11-09,Order,c22,Snapchat,93,22
1000847,c29,18183,9056,18426,2020-10-29,Order,c25,Pinterest,29,25
1000848,c45,3960,4393,3606,2020-12-02,Order,c38,Instagram,45,38
1000849,c52,4837,3361,2883,2020-01-11,Order,c66,Snapchat,52,66
1000850,c58,2784,4577,3682,2020-07-30,Order,c54,Youtube,58,54
1000851,c18,4435,4120,2635,2020-01-15,Order,c1,Facebook,18,1
1000852,c38,2799,4083,4386,2020-02-01,Order,c26,Snapchat,38,26
1000853,c62,4373,3777,4313,2020-04-08,Order,c9,Youtube,62,9
1000854,c100,3764,3132,4639,2020-01-06,Order,c62,Twitter,100,62
1000855,c92,4937,4285,4628,2020-03-15,Order,c63,Snapchat,92,63
1000856,c83,3871,3553,3741,2020-02-07,Order,c40,Pinterest,83,40
1000857,c71,3438,4482,4907,2020-08-01,Order,c47,Snapchat,71,47
1000858,c52,3891,3159,4274,2020-11-22,Order,c22,TikTok,52,22
1000859,c6,3331,3048,4635,2020-01-29,Order,c19,Twitter,6,19
1000860,c8,3041,4569,3936,2020-07-15,Order,c60,Pinterest,8,60
1000861,c33,3416,4082,2944,2020-08-31,Order,c16,Twitter,33,16
1000862,c59,2717,3329,4285,2020-11-21,Order,c9,TikTok,59,9
1000863,c46,4039,2518,2736,2020-05-28,Order,c1,Instagram,46,1
1000864,c92,2793,4755,4739,2020-01-17,Order,c60,Twitter,92,60
1000865,c74,2730,3671,3933,2020-06-17,Order,c44,Youtube,74,44
1000866,c91,3636,4136,4973,2020-07-06,Order,c29,TikTok,91,29
1000867,c93,4721,4636,4921,2020-12-20,Order,c46,Snapchat,93,46
1000868,c76,2575,4362,4925,2020-12-07,Order,c66,Instagram,76,66
1000869,c96,4365,4231,2945,2020-03-14,Order,c36,Youtube,96,36
1000870,c86,2570,3889,3182,2020-12-12,Order,c68,Youtube,86,68
1000871,c23,3772,2772,3087,2020-02-06,Order,c39,Twitter,23,39
1000872,c25,2901,3960,2876,2020-08-30,Order,c17,Instagram,25,17
1000873,c13,3464,4827,2628,2020-02-05,Order,c63,Twitter,13,63
1000874,c8,2537,3118,3223,2020-10-25,Order,c62,Instagram,8,62
1000875,c46,3450,2687,3312,2020-10-18,Order,c59,Instagram,46,59
1000876,c9,4979,4885,2519,2020-09-14,Order,c63,Youtube,9,63
1000877,c85,4124,4980,4814,2020-05-23,Order,c27,Youtube,85,27
1000878,c2,3081,2721,3505,2020-08-22,Order,c66,Twitter,2,66
1000879,c55,4289,4767,4474,2020-04-01,Order,c59,Instagram,55,59
1000880,c33,2661,2577,2521,2020-10-05,Order,c35,TikTok,33,35
1000881,c85,4530,3964,2736,2020-05-01,Order,c29,Twitter,85,29
1000882,c31,3062,3210,3990,2020-02-09,Order,c1,TikTok,31,1
1000883,c86,3208,2523,4072,2020-06-14,Order,c31,Twitter,86,31
1000884,c36,4555,3412,4647,2020-04-20,Order,c25,TikTok,36,25
1000885,c60,2541,2586,4907,2020-09-28,Order,c49,Snapchat,60,49
1000886,c70,3937,2627,2621,2020-12-09,Order,c68,Snapchat,70,68
1000887,c37,2707,3369,4796,2020-09-10,Order,c12,Facebook,37,12
1000888,c22,2631,4386,4142,2020-08-17,Order,c10,Snapchat,22,10
1000889,c91,2797,3018,2589,2020-01-11,Order,c41,Instagram,91,41
1000890,c63,3415,3566,4956,2020-07-23,Order,c68,TikTok,63,68
1000891,c54,4440,4799,2599,2020-09-04,Order,c66,TikTok,54,66
1000892,c18,2940,3091,4054,2020-11-11,Order,c69,Snapchat,18,69
1000893,c22,3849,3294,3327,2020-11-11,Order,c47,TikTok,22,47
1000894,c12,3336,2641,4164,2020-09-05,Order,c46,TikTok,12,46
1000895,c79,4262,3419,4740,2020-04-18,Order,c21,Facebook,79,21
1000896,c32,4892,4343,4131,2020-11-11,Order,c60,Twitter,32,60
1000897,c46,2887,3154,3359,2020-11-27,Order,c33,Youtube,46,33
1000898,c7,4519,4012,3150,2020-08-08,Order,c36,Youtube,7,36
1000899,c68,4928,3279,4091,2020-01-23,Order,c29,Twitter,68,29
1000900,c64,3875,4765,4385,2020-02-02,Order,c27,Snapchat,64,27
1000901,c45,2609,2745,4112,2020-06-13,Order,c11,TikTok,45,11
1000902,c41,3501,3761,4838,2020-07-16,Order,c3,Facebook,41,3
1000903,c11,2609,2568,3507,2020-07-25,Order,c31,TikTok,11,31
1000904,c52,3722,2955,3348,2020-10-14,Order,c13,Youtube,52,13
1000905,c90,4117,3713,4535,2020-02-01,Order,c53,Pinterest,90,53
1000906,c60,4228,3838,4041,2020-11-27,Order,c11,Youtube,60,11
1000907,c24,3936,3951,2778,2020-11-28,Order,c64,Twitter,24,64
1000908,c95,3996,2910,2681,2020-04-16,Order,c30,Youtube,95,30
1000909,c16,4712,4417,4188,2020-02-17,Order,c39,Youtube,16,39
1000910,c96,3074,4453,4112,2020-08-13,Order,c21,Youtube,96,21
1000911,c22,2919,4752,4206,2020-10-10,Order,c51,Facebook,22,51
1000912,c4,4426,4758,2783,2020-12-02,Order,c44,TikTok,4,44
1000913,c76,4753,4983,3993,2020-03-22,Order,c66,Pinterest,76,66
1000914,c76,4870,4177,2818,2020-03-13,Order,c41,Pinterest,76,41
1000915,c7,2640,3557,4340,2020-08-06,Order,c28,Facebook,7,28
1000916,c26,4970,2607,4451,2020-08-27,Order,c8,Instagram,26,8
1000917,c21,3084,4247,3031,2020-03-25,Order,c56,Pinterest,21,56
1000918,c68,4001,4929,4929,2020-10-23,Order,c34,Pinterest,68,34
1000919,c23,2695,3610,3464,2020-02-21,Order,c52,TikTok,23,52
1000920,c47,2653,4178,4536,2020-12-28,Order,c6,Youtube,47,6
1000921,c16,2620,4212,4884,2020-01-08,Order,c69,Youtube,16,69
1000922,c27,2631,2844,3773,2020-11-19,Order,c54,Facebook,27,54
1000923,c99,3960,4232,3758,2020-01-27,Order,c9,TikTok,99,9
1000924,c17,2536,4837,3948,2020-04-22,Order,c53,Youtube,17,53
1000925,c34,3113,4464,2729,2020-10-04,Order,c31,Snapchat,34,31
1000926,c14,4955,4341,3732,2020-11-15,Order,c60,Pinterest,14,60
1000927,c31,4059,3865,3750,2020-03-08,Order,c3,Facebook,31,3
1000928,c23,4298,4924,4656,2020-06-24,Order,c53,TikTok,23,53
1000929,c20,2688,3898,3992,2020-06-24,Order,c64,Facebook,20,64
1000930,c9,3806,2961,3722,2020-05-02,Order,c11,Pinterest,9,11
1000931,c89,3970,3967,3760,2020-11-25,Order,c27,Facebook,89,27
1000932,c26,3481,2791,4160,2020-02-28,Order,c68,Facebook,26,68
1000933,c80,4850,4735,3101,2020-07-09,Order,c15,Snapchat,80,15
1000934,c39,2876,2702,3171,2020-03-19,Order,c70,Pinterest,39,70
1000935,c9,3541,4814,2739,2020-03-16,Order,c61,Snapchat,9,61
1000936,c93,4866,2662,2684,2020-05-23,Order,c67,Snapchat,93,67
1000937,c37,4509,4222,3867,2020-01-23,Order,c66,Instagram,37,66
1000938,c75,3631,3374,3861,2020-08-03,Order,c1,TikTok,75,1
1000939,c46,2916,4231,4775,2020-08-21,Order,c22,Facebook,46,22
1000940,c78,3089,2587,4446,2020-05-14,Order,c62,Instagram,78,62
1000941,c35,2625,4293,2916,2020-02-21,Order,c65,Facebook,35,65
1000942,c57,4404,3763,4860,2020-07-06,Order,c15,Twitter,57,15
1000943,c36,3343,3114,2563,2020-08-20,Order,c9,Pinterest,36,9
1000944,c45,3986,3256,2682,2020-07-05,Order,c57,TikTok,45,57
1000945,c93,3507,4078,4415,2020-05-02,Order,c5,Snapchat,93,5
1000946,c87,3353,4103,4440,2020-04-22,Order,c47,Youtube,87,47
1000947,c67,4846,3296,3906,2020-02-12,Order,c63,Instagram,67,63
1000948,c99,3393,2605,3353,2020-11-07,Order,c23,Facebook,99,23
1000949,c3,2956,3111,4067,2020-11-15,Order,c39,Pinterest,3,39
1000950,c73,2560,3265,2503,2020-10-18,Order,c56,Snapchat,73,56
1000951,c52,4904,4100,2735,2020-07-25,Order,c49,Youtube,52,49
1000952,c80,4022,4940,2698,2020-09-07,Order,c29,Facebook,80,29
1000953,c82,4284,3760,4681,2020-05-20,Order,c34,Youtube,82,34
1000954,c36,3748,3502,4984,2020-12-07,Order,c24,Youtube,36,24
1000955,c34,3377,4602,2888,2020-01-31,Order,c64,Instagram,34,64
1000956,c38,3640,4821,2645,2020-07-13,Order,c5,Youtube,38,5
1000957,c94,4477,4399,4745,2020-03-23,Order,c65,Snapchat,94,65
1000958,c89,4929,3176,4135,2020-06-24,Order,c48,Twitter,89,48
1000959,c49,2701,3366,3198,2020-05-21,Order,c65,Youtube,49,65
1000960,c35,4777,4910,4809,2020-09-26,Order,c8,Instagram,35,8
1000961,c13,3338,2734,3127,2020-08-31,Order,c68,Pinterest,13,68
1000962,c7,4371,2698,4138,2020-04-02,Order,c7,Pinterest,7,7
1000963,c43,4892,4386,4759,2020-04-16,Order,c7,Youtube,43,7
1000964,c31,3088,4969,4858,2020-10-30,Order,c4,Snapchat,31,4
1000965,c99,4979,4999,4569,2020-09-17,Order,c58,Facebook,99,58
1000966,c94,4374,4437,4390,2020-04-19,Order,c46,TikTok,94,46
1000967,c94,2882,3333,4928,2020-02-14,Order,c13,Youtube,94,13
1000968,c45,2816,4645,4767,2020-04-17,Order,c58,TikTok,45,58
1000969,c45,3372,3466,3667,2020-11-27,Order,c52,TikTok,45,52
1000970,c36,3499,2542,4194,2020-12-21,Order,c31,Snapchat,36,31
1000971,c17,2713,2804,4289,2020-03-30,Order,c3,Facebook,17,3
1000972,c60,4549,4107,3606,2020-11-07,Order,c23,Twitter,60,23
1000973,c35,2590,4331,3098,2020-05-31,Order,c37,Twitter,35,37
1000974,c39,4354,4586,2834,2020-04-25,Order,c61,Facebook,39,61
1000975,c5,4534,3830,3468,2020-07-25,Order,c12,Youtube,5,12
1000976,c18,3698,4449,3237,2020-04-26,Order,c63,Youtube,18,63
1000977,c67,2973,4371,3078,2020-08-12,Order,c46,Twitter,67,46
1000978,c70,3515,3449,4594,2020-12-18,Order,c21,Pinterest,70,21
1000979,c16,4729,3489,4338,2020-01-01,Order,c45,Instagram,16,45
1000980,c39,2591,4062,4353,2020-10-31,Order,c34,Pinterest,39,34
1000981,c95,4960,2799,2922,2020-06-17,Order,c25,Facebook,95,25
1000982,c37,3198,3767,4325,2020-07-02,Order,c19,Instagram,37,19
1000983,c32,3977,3124,3114,2020-11-01,Order,c45,Facebook,32,45
1000984,c41,3335,3680,3676,2020-03-19,Order,c29,Pinterest,41,29
1000985,c78,3948,3851,4045,2020-01-29,Order,c28,Instagram,78,28
1000986,c25,4607,4200,2968,2020-08-12,Order,c65,TikTok,25,65
1000987,c85,3691,3018,4615,2020-04-22,Order,c28,Instagram,85,28
1000988,c87,3993,4970,2890,2020-04-13,Order,c61,Facebook,87,61
1000989,c89,3637,2908,3956,2020-07-20,Order,c20,TikTok,89,20
1000990,c55,2909,2706,2618,2020-01-11,Order,c19,Youtube,55,19
1000991,c69,2930,3065,4904,2020-10-29,Order,c25,Instagram,69,25
1000992,c61,2856,4816,4528,2020-09-30,Order,c27,Youtube,61,27
1000993,c82,2633,3074,4755,2020-12-19,Order,c42,TikTok,82,42
1000994,c7,2879,4125,3656,2020-07-17,Order,c32,Twitter,7,32
1000995,c95,4459,4974,2616,2020-01-19,Order,c26,Snapchat,95,26
1000996,c90,3340,4918,4189,2020-05-09,Order,c63,Youtube,90,63
1000997,c22,2752,4045,3477,2020-07-31,Order,c61,Facebook,22,61
1000998,c77,4442,4920,3018,2020-10-09,Order,c22,Twitter,77,22
1000999,c69,2612,4531,3206,2020-04-04,Order,c9,Facebook,69,9
1001000,c94,3114,4447,3269,2020-03-19,Order,c45,Snapchat,94,45
1001001,c25,2617,3477,2718,2020-02-17,Order,c67,Instagram,25,67
1001002,c6,3701,2674,2601,2020-08-16,Order,c13,Youtube,6,13
1001003,c3,2984,3045,4723,2020-02-23,Order,c45,Youtube,3,45
1001004,c16,2930,3333,4850,2020-11-01,Order,c61,Pinterest,16,61
1001005,c21,4410,3140,2519,2020-04-23,Order,c24,Instagram,21,24
1001006,c43,3843,4539,2766,2020-12-12,Order,c66,Twitter,43,66
1001007,c54,2737,2672,4577,2020-01-24,Order,c23,Instagram,54,23
1001008,c34,2995,4124,3568,2020-11-20,Order,c70,Pinterest,34,70
1001009,c39,4278,2774,2512,2020-09-18,Order,c4,Twitter,39,4
1001010,c99,4361,4508,3142,2020-01-30,Order,c65,Facebook,99,65
1001011,c46,4699,4821,3573,2020-09-10,Order,c31,Pinterest,46,31
1001012,c99,3557,3289,4732,2020-10-17,Order,c42,Youtube,99,42
1001013,c10,4169,2768,3478,2020-08-02,Order,c32,Youtube,10,32
1001014,c27,3789,3499,3547,2020-07-08,Order,c54,Instagram,27,54
1001015,c95,3109,4964,4606,2020-08-10,Order,c47,TikTok,95,47
1001016,c2,3294,2558,4711,2020-07-30,Order,c50,Snapchat,2,50
1001017,c66,4454,3729,3433,2020-12-13,Order,c25,Snapchat,66,25
1001018,c13,4929,2998,4514,2020-11-19,Order,c4,TikTok,13,4
1001019,c50,3085,4838,4123,2020-12-23,Order,c42,TikTok,50,42
1001020,c99,4006,4395,4513,2020-12-09,Order,c34,Instagram,99,34
1001021,c87,3384,4548,2944,2020-10-29,Order,c18,Facebook,87,18
1001022,c54,3073,4730,3507,2020-09-03,Order,c65,Pinterest,54,65
1001023,c52,3528,4186,2807,2020-05-02,Order,c6,Pinterest,52,6
1001024,c37,3300,4027,4075,2020-06-07,Order,c23,Facebook,37,23
1001025,c65,2773,4041,3684,2020-03-28,Order,c23,TikTok,65,23
1001026,c65,2703,3535,2982,2020-11-01,Order,c31,Twitter,65,31
1001027,c93,4883,3537,3244,2020-01-15,Order,c22,Pinterest,93,22
1001028,c98,2776,2803,4207,2020-08-30,Order,c55,Pinterest,98,55
1001029,c76,3321,3406,3808,2020-07-06,Order,c45,Instagram,76,45
1001030,c18,3401,4026,2965,2020-04-24,Order,c63,Snapchat,18,63
1001031,c81,3531,4895,4373,2020-07-25,Order,c34,Youtube,81,34
1001032,c16,2938,4542,3839,2020-10-09,Order,c47,Pinterest,16,47
1001033,c25,4871,4407,3946,2020-02-10,Order,c46,Snapchat,25,46
1001034,c50,4927,4090,4845,2020-02-26,Order,c31,TikTok,50,31
1001035,c85,4005,4676,4154,2020-08-06,Order,c5,Pinterest,85,5
1001036,c76,3314,4128,4335,2020-06-06,Order,c43,Instagram,76,43
1001037,c92,2546,4389,3156,2020-07-09,Order,c32,Snapchat,92,32
1001038,c72,3299,4897,4378,2020-05-18,Order,c10,Instagram,72,10
1001039,c68,3511,3808,4194,2020-06-07,Order,c57,Twitter,68,57
1001040,c95,4910,4670,2837,2020-08-16,Order,c4,Twitter,95,4
1001041,c83,2547,3694,4912,2020-11-06,Order,c44,Youtube,83,44
1001042,c67,4943,2947,3996,2020-12-27,Order,c41,Instagram,67,41
1001043,c16,3885,4240,3719,2020-11-04,Order,c44,Pinterest,16,44
1001044,c69,4086,3618,4959,2020-12-04,Order,c51,Pinterest,69,51
1001045,c46,2843,3328,3118,2020-09-14,Order,c16,Pinterest,46,16
1001046,c44,4342,3363,4091,2020-03-05,Order,c42,Facebook,44,42
1001047,c58,4879,2918,3638,2020-03-05,Order,c40,Instagram,58,40
1001048,c63,3430,3732,4257,2020-03-18,Order,c28,Snapchat,63,28
1001049,c80,4853,4349,4552,2020-06-11,Order,c50,Facebook,80,50
1001050,c96,4213,2711,4535,2020-01-08,Order,c59,TikTok,96,59
1001051,c42,4552,2862,2713,2020-05-02,Order,c63,Snapchat,42,63
1001052,c75,4625,3523,4941,2020-11-06,Order,c44,Facebook,75,44
1001053,c49,3127,2938,2736,2020-08-26,Order,c41,Youtube,49,41
1001054,c93,3927,4388,4111,2020-03-21,Order,c10,Twitter,93,10
1001055,c29,2583,3461,2820,2020-07-27,Order,c56,Facebook,29,56
1001056,c45,3051,3729,4507,2020-04-08,Order,c31,Instagram,45,31
1001057,c62,3878,2530,3610,2020-10-04,Order,c43,Snapchat,62,43
1001058,c67,3784,4620,3439,2020-04-08,Order,c23,Snapchat,67,23
1001059,c16,3289,4617,4381,2020-04-19,Order,c7,Youtube,16,7
1001060,c20,3377,3623,3502,2020-01-05,Order,c9,Pinterest,20,9
1001061,c50,3069,3718,4132,2020-03-01,Order,c24,TikTok,50,24
1001062,c27,4993,3744,2856,2020-12-07,Order,c37,TikTok,27,37
1001063,c67,2788,3063,3659,2020-11-02,Order,c13,Facebook,67,13
1001064,c51,3512,4112,4975,2020-02-05,Order,c25,Instagram,51,25
1001065,c82,2678,3540,4822,2020-04-08,Order,c6,Snapchat,82,6
1001066,c57,3636,4811,4331,2020-06-13,Order,c26,Twitter,57,26
1001067,c76,3818,3789,2741,2020-01-13,Order,c5,Pinterest,76,5
1001068,c70,3956,3563,2523,2020-10-22,Order,c21,Instagram,70,21
1001069,c80,4468,3479,3346,2020-01-12,Order,c7,Pinterest,80,7
1001070,c69,3320,2925,3431,2020-07-13,Order,c40,Instagram,69,40
1001071,c94,3371,4458,3812,2020-08-05,Order,c43,Youtube,94,43
1001072,c46,4285,3614,4510,2020-05-10,Order,c20,Twitter,46,20
1001073,c56,3119,3269,3060,2020-02-13,Order,c59,Facebook,56,59
1001074,c57,3302,2564,4679,2020-09-10,Order,c30,TikTok,57,30
1001075,c29,4301,3897,3153,2020-08-28,Order,c15,TikTok,29,15
1001076,c10,4874,4160,4619,2020-11-21,Order,c24,TikTok,10,24
1001077,c83,3680,4297,3423,2020-06-08,Order,c69,Instagram,83,69
1001078,c69,3675,3144,3374,2020-08-08,Order,c65,Twitter,69,65
1001079,c41,2681,4131,4813,2020-11-29,Order,c44,TikTok,41,44
1001080,c69,4956,4774,2754,2020-06-01,Order,c41,Twitter,69,41
1001081,c7,2917,4534,4523,2020-11-20,Order,c33,Pinterest,7,33
1001082,c53,3951,4539,4559,2020-02-17,Order,c64,Snapchat,53,64
1001083,c31,2634,4565,3372,2020-05-08,Order,c60,Facebook,31,60
1001084,c82,4609,2919,3663,2020-03-16,Order,c37,Pinterest,82,37
1001085,c93,4103,3074,4270,2020-09-21,Order,c59,Youtube,93,59
1001086,c87,2683,3054,3890,2020-03-13,Order,c12,Youtube,87,12
1001087,c42,4877,3693,3999,2020-10-18,Order,c30,Youtube,42,30
1001088,c23,3530,4037,2731,2020-04-20,Order,c37,Pinterest,23,37
1001089,c6,4368,2782,4644,2020-12-02,Order,c14,Pinterest,6,14
1001090,c98,4372,3083,2918,2020-04-22,Order,c39,Facebook,98,39
1001091,c38,3694,3629,4598,2020-03-04,Order,c21,Youtube,38,21
1001092,c93,2726,3484,4338,2020-12-06,Order,c25,TikTok,93,25
1001093,c9,4849,4850,2740,2020-01-08,Order,c36,TikTok,9,36
1001094,c84,3018,3213,4149,2020-06-21,Order,c69,Pinterest,84,69
1001095,c53,2514,2874,3453,2020-05-06,Order,c35,Twitter,53,35
1001096,c21,4506,3171,3208,2020-12-13,Order,c70,Facebook,21,70
1001097,c98,2882,3649,3217,2020-12-10,Order,c33,Twitter,98,33
1001098,c32,4131,4614,3645,2020-11-26,Order,c36,TikTok,32,36
1001099,c55,3510,3064,4270,2020-07-18,Order,c29,Snapchat,55,29
1001100,c8,3682,3290,4215,2020-11-07,Order,c30,TikTok,8,30
1001101,c2,2591,2706,4391,2020-12-11,Order,c5,Instagram,2,5
1001102,c6,3104,4217,4658,2020-05-21,Order,c19,Instagram,6,19
1001103,c65,4307,3471,2626,2020-10-19,Order,c47,Youtube,65,47
1001104,c8,4151,2525,3262,2020-11-29,Order,c11,Pinterest,8,11
1001105,c9,3826,4423,2704,2020-03-01,Order,c31,Twitter,9,31
1001106,c17,4403,3818,3091,2020-03-12,Order,c12,Snapchat,17,12
1001107,c95,4071,3418,3316,2020-06-27,Order,c15,Instagram,95,15
1001108,c52,3572,4634,4231,2020-05-22,Order,c27,Snapchat,52,27
1001109,c46,4548,2985,3573,2020-02-15,Order,c10,Twitter,46,10
1001110,c18,4390,3711,4198,2020-07-05,Order,c67,Youtube,18,67
1001111,c1,2591,3195,4274,2020-08-27,Order,c12,Instagram,1,12
1001112,c95,4547,3934,3576,2020-05-01,Order,c58,Youtube,95,58
1001113,c99,4472,2885,4812,2020-11-18,Order,c5,Instagram,99,5
1001114,c5,4394,4425,3138,2020-05-25,Order,c27,Instagram,5,27
1001115,c29,3898,3385,3943,2020-07-05,Order,c57,Twitter,29,57
1001116,c96,4313,4667,2720,2020-01-10,Order,c63,Twitter,96,63
1001117,c59,4535,3338,4961,2020-08-09,Order,c56,Instagram,59,56
1001118,c80,4606,4995,2690,2020-01-16,Order,c21,Twitter,80,21
1001119,c54,3458,3761,3170,2020-10-23,Order,c53,Instagram,54,53
1001120,c6,3972,3117,4099,2020-01-24,Order,c3,Twitter,6,3
1001121,c30,4522,2982,4960,2020-03-11,Order,c5,Youtube,30,5
1001122,c91,4202,3356,2843,2020-05-20,Order,c68,Twitter,91,68
1001123,c84,4969,4337,2701,2020-08-29,Order,c25,Instagram,84,25
1001124,c27,3271,3873,4835,2020-05-27,Order,c28,TikTok,27,28
1001125,c43,4988,4057,4587,2020-01-23,Order,c68,Pinterest,43,68
1001126,c67,3242,3893,4396,2020-09-21,Order,c32,Youtube,67,32
1001127,c20,2652,4761,3479,2020-03-02,Order,c50,Instagram,20,50
1001128,c63,2578,4256,4783,2020-07-15,Order,c49,Pinterest,63,49
1001129,c88,2625,4406,4964,2020-09-24,Order,c30,Instagram,88,30
1001130,c74,4014,3252,3382,2020-08-12,Order,c70,Instagram,74,70
1001131,c92,2722,4362,4467,2020-04-05,Order,c12,TikTok,92,12
1001132,c35,4042,3006,3422,2020-03-21,Order,c12,TikTok,35,12
1001133,c11,3200,3408,4758,2020-12-25,Order,c53,Twitter,11,53
1001134,c84,3050,3819,3106,2020-11-28,Order,c63,Pinterest,84,63
1001135,c11,4474,4712,3459,2020-10-21,Order,c31,Twitter,11,31
1001136,c13,3462,4105,2731,2020-06-01,Order,c10,TikTok,13,10
1001137,c40,4889,3575,3452,2020-11-22,Order,c38,Instagram,40,38
1001138,c59,4509,3680,3915,2020-09-16,Order,c52,Facebook,59,52
1001139,c64,2730,4229,3567,2020-07-27,Order,c6,Youtube,64,6
1001140,c55,3877,4596,3875,2020-10-05,Order,c36,Twitter,55,36
1001141,c1,4559,3720,4904,2020-12-12,Order,c51,Instagram,1,51
1001142,c2,3826,4057,3977,2020-01-29,Order,c27,Twitter,2,27
1001143,c41,4692,3619,4807,2020-10-28,Order,c47,TikTok,41,47
1001144,c6,2544,3559,3416,2020-03-19,Order,c32,Snapchat,6,32
1001145,c29,4711,3243,2789,2020-03-18,Order,c46,Instagram,29,46
1001146,c68,4611,4478,3996,2020-08-07,Order,c21,Pinterest,68,21
1001147,c97,4442,2783,2596,2020-10-29,Order,c9,Facebook,97,9
1001148,c54,4859,3635,4710,2020-12-26,Order,c63,TikTok,54,63
1001149,c8,3292,3722,4066,2020-12-16,Order,c13,Youtube,8,13
1001150,c28,3213,4638,4451,2020-06-21,Order,c4,Snapchat,28,4
1001151,c20,4387,2664,4847,2020-01-11,Order,c62,Facebook,20,62
1001152,c55,2843,3927,4134,2020-12-14,Order,c39,TikTok,55,39
1001153,c21,2519,4151,4780,2020-04-26,Order,c27,Twitter,21,27
1001154,c47,4985,3804,3888,2020-09-03,Order,c44,TikTok,47,44
1001155,c94,4688,2959,4477,2020-08-12,Order,c27,Instagram,94,27
1001156,c13,2561,3961,4147,2020-02-01,Order,c57,Youtube,13,57
1001157,c7,4162,3153,2873,2020-08-24,Order,c43,Twitter,7,43
1001158,c5,3534,4940,3004,2020-08-30,Order,c50,Twitter,5,50
1001159,c40,3278,3800,4022,2020-04-06,Order,c50,Pinterest,40,50
1001160,c44,4695,3126,4302,2020-12-24,Order,c66,Snapchat,44,66
