id,name,price,wprice
3686,Mossy Tumor,10.5,7.875
3687,Earth Totem,35.33,26.4975
3688,Fire Totem,148.67,111.5025
3689,Water Totem,49.5,37.125
3690,Air Totem,52.5,39.375
3691,Moss-Twined Heart,8.22,6.165
3692,Necklace of Harmony,52.33,39.2475
3693,Vibrant Silk Cape,72.33,54.2475
3694,Shiver Blade,71.75,53.8125
3695,Pulsating Hydra Heart,21,15.75
3696,Filled Crystal Phial,147.67,110.7525
3697,Crystal Phial,81.8,61.35
3698,Partially Filled Vessel,50.33,37.7475
3699,Foe Reaper,33,24.75
3700,Filled Vessel,57.33,42.9975
3701,Glowing Fruit,19,14.25
3702,Shimmering Frond,46.88,35.16
3703,Cruel Barb,12,9
3704,Thief's Blade,242,181.5
3705,Cape of the Brotherhood,42.75,32.0625
3706,Taskmaster Axe,61.6,46.2
3707,Gold-Flecked Gloves,50,37.5
3708,Smite's Reaver,10,7.5
3709,Cookie's Tenderizer,48.9,36.675
3710,Cookie's Stirring Rod,33.5,25.125
3711,Smelting Pants,69.67,52.2525
3712,Impaling Harpoon,67,50.25
3713,Emberstone Staff,8.57,6.4275
3714,Corsair's Overshirt,70.83,53.1225
3715,Flatland Prowler Claw,122.75,92.0625
3716,Bloodfeather Belt,2.33,1.7475
3717,Sprouted Frond,40.4,30.3
3718,Bogling Root,56.4,42.3
3719,Opaque Wand,155,116.25
3720,Smoldering Wand,33.44,25.08
3721,Gloom Wand,66.4,49.8
3722,Burning Wand,67,50.25
3723,Dusk Wand,20.5,15.375
3724,Blazing Wand,53,39.75
3725,Scorching Wand,31.1,23.325
3726,Wand of Eventide,21.67,16.2525
3727,Ember Wand,155,116.25
3728,Umbral Wand,20.6,15.45
3729,Tainted Heart,11.38,8.535
3730,Cleansed Timberling Heart,66.75,50.0625
3731,Inscribed Bark,6.33,4.7475
3732,Gnarlpine Fang,57,42.75
3733,Melenas' Head,91,68.25
3734,Soulstone,43.22,32.415
3735,Stone of Relu,180,135
3736,Flagongut's Fossil,481,360.75
3737,Alchemist's Wand,15,11.25
3738,Combustible Wand,149,111.75
3739,Pitchwood Wand,111.33,83.4975
3740,Blackbone Wand,42,31.5
3741,Torchlight Wand,33.8,25.35
3742,Dwarven Flamestick,65.5,49.125
3743,Cinder Wand,39,29.25
3744,Firebelcher,208,156
3745,Consecrated Wand,0.29,0.2175
3746,Summoner's Wand,48.75,36.5625
3747,Excavation Rod,2,1.5
3748,Rod of Sorrow,349,261.75
3749,Flash Wand,52.5,39.375
3750,Burning Sliver,31,23.25
3751,Charred Wand,20.57,15.4275
3752,Phial of Scrying,221,165.75
3753,Wand of Decay,151.67,113.7525
3754,Goblin Igniter,17.29,12.9675
3755,Rugged Spaulders,46.17,34.6275
3756,Quilboar Tomahawk,52.11,39.0825
3757,Kovork's Rattle,20.86,15.645
3758,Dark Hooded Cape,23.25,17.4375
3759,Eye of Adaegus,98.75,74.0625
3760,Scarlet Kris,34.11,25.5825
3761,Death Cap,35.5,26.625
3762,Scaber Stalk,36.8,27.6
3763,Insane Scribbles,60,45
3764,Mathystra Relic,45.89,34.4175
3765,Rose Mantle,22.5,16.875
3766,Binding Girdle,45.33,33.9975
3767,Harpy Skinner,198.5,148.875
3768,Gloves of the Moon,102.5,76.875
3769,Cobalt Buckler,6.89,5.1675
3770,Wind Rider Staff,47.56,35.67
3771,Privateer Musket,111.5,83.625
3772,Sea Dog Britches,431,323.25
3773,Buckled Boots,75.25,56.4375
3774,Riveted Gauntlets,64.8,48.6
3775,Totemic Clan Ring,62,46.5
3776,Boar Hunter's Cape,30,22.5
3777,Timberland Armguards,44,33
3778,Barkshell Tunic,198,148.5
3779,Dry Moss Tunic,59,44.25
3780,Zhovur Axe,8.56,6.42
3781,Bashing Pauldrons,4.8,3.6
3782,Padded Lamellar Boots,100,75
3783,Elegant Shortsword,32,24
3784,Demolition Hammer,1,0.75
3785,Everglow Lantern,28.86,21.645
3786,Engineer's Hammer,20.29,15.2175
3787,Welding Shield,27.2,20.4
3788,Flaring Baton,26,19.5
3789,Greasy Tinker's Pants,59,44.25
3790,Cinched Belt,90.33,67.7475
3791,Glowing Cat Figurine,333,249.75
3792,99-Year-Old Port,244,183
3793,A Sack of Coins,35.67,26.7525
3794,Grell Earring,160,120
3795,Wayfaring Gloves,88.33,66.2475
3796,Ancient Moonstone Seal,50.14,37.605
3797,Serpentbloom,29.38,22.035
3798,Cauldron Stirrer,87.2,65.4
3799,Spore-Covered Tunic,59.29,44.4675
3800,Raptor Punch,28,21
3801,Barkeeper's Cloak,9.43,7.0725
3802,Pointed Axe,142,106.5
3803,Stonewood Hammer,34,25.5
3804,Orcish Battle Bow,58,43.5
3805,Pestilent Wand,22,16.5
3806,Worn Parchment,59.29,44.4675
3807,Conjured Muffin,140.5,105.375
3808,Conjured Water,151.67,113.7525
3809,Bounty Hunter's Ring,19.11,14.3325
3810,Book: The Powers Below,29.11,21.8325
3811,Message for Elissa Starbreeze,58.33,43.7475
3812,Letter to Delgren,110,82.5
3813,Beastmaster's Girdle,206.5,154.875
3814,Branding Rod,24.5,18.375
3815,Ward of the Vale,13.3,9.975
3816,Lorgalis Manuscript,38.57,28.9275
3817,Highborne Relic,59.6,44.7
3818,Glowing Soul Gem,25.8,19.35
3819,Lucky Charm,79.33,59.4975
3820,Anaya's Pendant,33.67,25.2525
3821,Athrikus Narassin's Head,157.5,118.125
3822,Crawler Leg,26,19.5
3823,Fine Moonstalker Pelt,60.25,45.1875
3824,Enchanted Moonstalker Cloak,37.22,27.915
3825,Ran Bloodtooth's Skull,40.2,30.15
3826,Corrupted Furbolg Totem,146.67,110.0025
3827,Fandral's Message,41.1,30.825
3828,Rare Earth,49,36.75
3829,Thistlewood Dagger,88.67,66.5025
3830,Thistlewood Staff,64.43,48.3225
3831,Archery Training Gloves,19.25,14.4375
3832,Woodland Shield,103.75,77.8125
3833,Canopy Leggings,41.7,31.275
3834,Tracking Boots,11.56,8.67
3835,Blood of Cobrahn,63.83,47.8725
3836,Serpent's Shoulders,273,204.75
3837,Draped Cloak,28.5,21.375
3838,OLDCeremonial Club,14.13,10.5975
3839,Winterhoof Cleansing Totem,255,191.25
3840,Thresher Eye,109.67,82.2525
3841,Moonstalker Fang,45.6,34.2
3842,Grizzled Scalp,28.56,21.42
3843,Thunderhorn Cleansing Totem,77,57.75
3844,Wildmane Cleansing Totem,31.14,23.355
3845,Weapon of Massive Destruction (test),50.78,38.085
3846,Weapon of Mass Destruction (test),51.29,38.4675
3847,Feral Bracers,7.5,5.625
3848,Banshee Armor,180.5,135.375
3849,Fiery Blaze Enchantment,42.33,31.7475
3850,Brambleweed Leggings,34,25.5
3851,Boahn's Fang,32,24
3852,Ancient Statuette,25,18.75
3853,Runescale Girdle,81.75,61.3125
3854,Serpent's Kiss,41,30.75
3855,Bathran's Hair,47,35.25
3856,Small Quiver,14.63,10.9725
3857,Bottle of Disease,36.11,27.0825
3858,Small Shot Pouch,52,39
3859,Head of Arugal,107.67,80.7525
3860,Gold-Plated Buckler,6.83,5.1225
3861,Miner's Cape,7.2,5.4
3862,Ring of Zoram,43,32.25
3863,Divined Scroll,71,53.25
3864,Divining Scroll,49.6,37.2
3865,Severed Voodoo Claw,62.33,46.7475
3866,Dirtwood Belt,36.2,27.15
3867,Defender Axe,35,26.25
3868,Orendil's Cure,42.29,31.7175
3869,Branch of Cenarius,4,3
3870,Dartol's Rod of Transformation,33.89,25.4175
3871,Glowing Gem,79.8,59.85
3872,Iron Shaft,7.86,5.895
3873,Small Spider Leg,44.38,33.285
3874,Scorpid Stinger,71.2,53.4
3875,Kodo Meat,107,80.25
3876,Soft Frenzy Flesh,16,12
3877,Strider Meat,35.78,26.835
3878,Thunder Lizard Tail,300,225
3879,Stag Meat,26,19.5
3880,Kaldorei Spider Kabob,20.5,15.375
3881,Scorpid Surprise,224,168
3882,Roasted Kodo Meat,212,159
3883,Wooden Key,19.14,14.355
3884,Fillet of Frenzy,215,161.25
3885,Strider Stew,21.8,16.35
3886,Dig Rat Stew,46.7,35.025
3887,Crispy Lizard Tail,361,270.75
3888,Lean Venison,0.29,0.2175
3889,Satyr Horns,149,111.75
3890,Recipe: Kaldorei Spider Kabob,45.22,33.915
3891,Recipe: Scorpid Surprise,310,232.5
3892,Recipe: Roasted Kodo Meat,32,24
3893,Recipe: Fillet of Frenzy,38,28.5
3894,Recipe: Strider Stew,33.5,25.125
3895,Recipe: Dig Rat Stew,55.33,41.4975
3896,Recipe: Crispy Lizard Tail,3.8,2.85
3897,Recipe: Lean Venison,165.33,123.9975
3898,Wrathtail Head,23.13,17.3475
3899,Elune's Tear,58.25,43.6875
3900,Handful of Stardust,51.89,38.9175
3901,Small Lustrous Pearl,5.88,4.41
3902,Iridescent Pearl,16.63,12.4725
3903,Clam Meat,33.38,25.035
3904,Tangy Clam Meat,249.5,187.125
3905,Teronis' Journal,135.5,101.625
3906,Ornate Spyglass,44.71,33.5325
3907,Fallen Moonstone,19,14.25
3908,Healthstone,156,117
3909,Greater Healthstone,242,181.5
3910,Lesser Healthstone,156.67,117.5025
3911,Healthstone,12.78,9.585
3912,Mana Jade,38.6,28.95
3913,Mana Agate,35.89,26.9175
3914,Deprecated Iron Pummel,23.89,17.9175
3915,Iron Pommel,2.13,1.5975
3916,Velinde's Journal,54.29,40.7175
3917,Velinde's Key,37.67,28.2525
3918,Small Barnacled Clam,39.33,29.4975
3919,Thick-Shelled Clam,158.33,118.7475
3920,Boiled Clams,187,140.25
3921,Clam Chowder,49.5,37.125
3922,Goblin Deviled Clams,10.83,8.1225
3923,Recipe: Clam Chowder,19.3,14.475
3924,Deprecated Brakgul Deathbringer's Head,84.67,63.5025
3925,Ilkrud Magthrull's Tome,25,18.75
3926,Parker's Lunch,56,42
3927,Compendium of the Fallen,45.5,34.125
3928,Mythology of the Titans,299,224.25
3929,Sarilus Foulborne's Head,56.63,42.4725
3930,Vorrel's Wedding Ring,145.67,109.2525
3931,Letter of Commendation,18.4,13.8
3932,Pearl-Handled Dagger,16.4,12.3
3933,Iridescent Hammer,46.9,35.175
3934,Pearl-Clasped Cloak,61.2,45.9
3935,Plans: Iridescent Hammer,19.33,14.4975
3936,Bloodclaw's Collection,13,9.75
3937,Reconstructed Rod,71.83,53.8725
3938,Deepmoss Egg,36,27
3939,Small Black Pouch,10.44,7.83
3940,Small Green Pouch,1.71,1.2825
3941,Green Leather Bag,1.75,1.3125
3942,White Leather Bag,67.6,50.7
3943,Large Green Sack,378,283.5
3944,Large Brown Sack,246,184.5
3945,Plans: Silvered Bronze Breastplate,54.2,40.65
3946,Militia Warhammer,41.89,31.4175
3947,Militia Hammer,5.1,3.825
3948,Smooth Walking Staff,13.33,9.9975
3949,Stonetalon Sap,288,216
3950,Fey Dragon Scale,31.22,23.415
3951,Twilight Whisker,15,11.25
3952,Courser Eye,48.5,36.375
3953,Thistlewood Blade,93.2,69.9
3954,Thornroot Club,13.67,10.2525
3955,Lydon's Toxin,53.43,40.0725
3956,Moss-Covered Gauntlets,87,65.25
3957,Cord Bracers,11.78,8.835
3958,Rain-Spotted Cape,39.44,29.58
3959,Shackled Girdle,31.3,23.475
3960,Crag Buckler,18.71,14.0325
3961,Letter to Jin'Zil,124.33,93.2475
3962,Thicket Hammer,64.71,48.5325
3963,Ashwood Bow,72,54
3964,Elven Wand,20.7,15.525
3965,Pruning Knife,25.6,19.2
3966,Gardening Gloves,79,59.25
3967,Living Cowl,38,28.5
3968,Steadfast Cinch,9.25,6.9375
3969,Gustweald Cloak,377,282.75
3970,Tear of Grief,30.25,22.6875
3971,Ivy Cuffs,52,39
3972,Staff of the Purifier,67.83,50.8725
3973,Seraph's Strike,178,133.5
3974,Woodsman Sword,304,228
3975,Gutwrencher,7,5.25
3976,Vagabond Leggings,104,78
3977,Scout's Cloak,93.4,70.05
3978,Jade Phial,45,33.75
3979,Vial of Innocent Blood,392,294
3980,Tourmaline Phial,40.25,30.1875
3981,Clergy Ring,86,64.5
3982,Amethyst Phial,40.83,30.6225
3983,Circlet of the Order,154.5,115.875
3984,Skullchipper,49.63,37.2225
3985,Relic Blade,18.22,13.665
3986,Zamah's Note,32.25,24.1875
3987,Hammerfist Gloves,45.11,33.8325
3988,Windfelt Gloves,91,68.25
3989,Rage Potion,106.67,80.0025
3990,Deprecated Cowardly Flight Potion,67.25,50.4375
3991,Great Rage Potion,200.5,150.375
3992,Free Action Potion,24.8,18.6
3993,Sharp Claw,38.83,29.1225
3994,Large Fang,96.67,72.5025
3995,Toxic Fogger,9.44,7.08
3996,Filled Jade Phial,2,1.5
3997,Recipe: Rage Potion,21.86,16.395
3998,Recipe: Free Action Potion,324,243
3999,Recipe: Great Rage Potion,47.5,35.625
4000,Filled Tourmaline Phial,30,22.5
4001,Vial of Blessed Water,5,3.75
4002,Instant Toxin,42.63,31.9725
4003,Chestnut Mare Bridle,38.13,28.5975
4004,Brown Horse Bridle,175,131.25
4005,Smoldering Embers,27.2,20.4
4006,Corroded Shrapnel,143.5,107.625
4007,Horn of the Dire Wolf,298,223.5
4008,Horn of the Brown Wolf,89.67,67.2525
4009,Dust Devil Debris,101.75,76.3125
4010,Crystalized Scales,87,65.25
4011,Corrosive Sap,87.67,65.7525
4012,Ordanus' Head,4.29,3.2175
4013,Gatekeeper's Key,54,40.5
4014,Sleepers' Key,36.67,27.5025
4015,Claw Key,52.78,39.585
4016,Barrow Key,103,77.25
4017,Remote Detonator (Red),19.8,14.85
4018,Remote Detonator (Blue),94.2,70.65
4019,NG-5 Explosives (Red),30.86,23.145
4020,NG-5 Explosives (Blue),37.67,28.2525
4021,Venture Co. Letters,46,34.5
4022,Venture Co. Engineering Plans,161,120.75
4023,Scroll of Messaging,30,22.5
4024,NG-5,10,7.5
4025,Unidentified Ore,10.43,7.8225
4026,Super Reaper 6000 Blueprints,21.2,15.9
4027,Sealed Envelope,23.88,17.91
4028,Gerenzo's Mechanical Arm,22.5,16.875
4029,Covert Ops Plans: Alpha & Beta,380,285
4030,Covert Ops Pack,0.4,0.3
4031,Barbaric Harness,300,225
4032,Red Fireworks Rocket,28.25,21.1875
4033,Gemstone Dagger,22.33,16.7475
4034,Prismstone Ring,7.67,5.7525
4035,Pale Skinner,18.78,14.085
4036,Centaur Longbow,49.43,37.0725
4037,Scythe Axe,35.25,26.4375
4038,Warchief's Girdle,250,187.5
4039,Webwing Cloak,106.67,80.0025
4040,Wyvern Tailspike,34.67,26.0025
4041,Ruffled Chaplet,352,264
4042,Wolfpack Medallion,28,21
4043,Onyx Shredder Plate,456,342
4044,Sliverblade,28.25,21.1875
4045,Hardwood Cudgel,42.4,31.8
4046,Mithril Lockbox,500,375
4047,Thorium Lockbox,7.5,5.625
4048,Eternium Lockbox,49.33,36.9975
4049,Anvilmar Sledge,50.4,37.8
4050,Red Linen Bag,30.8,23.1
4051,Red Woolen Bag,139,104.25
4052,Green Silk Pack,19.25,14.4375
4053,Black Silk Pack,48.44,36.33
4054,Lesser Wizard's Robe,12.67,9.5025
4055,Violet Robes,140.33,105.2475
4056,Gnome Race Ticket,37.67,28.2525
4057,Goblin Race Ticket,291,218.25
4058,Robes of Arcana,100.5,75.375
4059,Pattern: Red Linen Bag,31.67,23.7525
4060,Pattern: Red Woolen Bag,32.17,24.1275
4061,Pattern: Robes of Arcana,10.5,7.875
4062,Pattern: Green Silk Pack,24.25,18.1875
4063,Pattern: Black Silk Pack,309,231.75
4064,Elder's Cane,92,69
4065,Brave's Axe,46.63,34.9725
4066,Primitive Walking Stick,97.4,73.05
4067,Forsaken Bastard Sword,5.33,3.9975
4068,Murloc Scale Belt,17.5,13.125
4069,Murloc Scale Breastplate,54.75,41.0625
4070,Thick Murloc Armor,112,84
4071,Murloc Scale Bracers,6.75,5.0625
4072,Slimy Murloc Scale,61,45.75
4073,Thick Murloc Scale,46.17,34.6275
4074,Pattern: Murloc Scale Belt,165,123.75
4075,Pattern: Murloc Scale Breastplate,51.63,38.7225
4076,Pattern: Thick Murloc Armor,9.43,7.0725
4077,Pattern: Murloc Scale Bracers,54.57,40.9275
4078,Lonebrow's Journal,41.57,31.1775
4079,Henrig Lonebrow's Journal,6.9,5.175
4080,Razorflank's Medallion,77.4,58.05
4081,Razorflank's Heart,14.89,11.1675
4082,Salty Scorpid Venom,120.75,90.5625
4083,Hardened Tortoise Shell,48.4,36.3
4084,Encrusted Tail Fin,52.67,39.5025
4085,Indurium Flake,33.2,24.9
4086,[Deprecated for 4.x]Rocket Car Parts,28.5,21.375
4087,Kravel's Parts Order,81.6,61.2
4088,Kravel's Parts,15.17,11.3775
4089,Kraul Guano,33,24.75
4090,Delicate Car Parts,277,207.75
4091,Speck of Dream Dust,26.57,19.9275
4092,Goblin Rumors,156.5,117.375
4093,Heart of Zeal,248,186
4094,Fool's Stout,2.13,1.5975
4095,Fool's Stout Report,31.9,23.925
4096,Pridewing Venom Sac,47.29,35.4675
4097,Highperch Venom Sac,3.2,2.4
4098,Fresh Carcass,21.71,16.2825
4099,Frostmaw's Mane,67.17,50.3775
4100,Robes of Antiquity,40,30
4101,Emil's Brand,33.33,24.9975
4102,Snapbrook Armor,62.29,46.7175
4103,Glacial Stone,58.17,43.6275
4104,Light of Elune,50.67,38.0025
4105,Lunaris Bow,70.33,52.7475
4106,Moonbeam Wand,62.5,46.875
4107,Sunblaze Coif,26,19.5
4108,Faerie Mantle,10.67,8.0025
4109,Darkstalker Boots,45.71,34.2825
4110,Hedgeseed Gauntlets,24,18
4111,Tablet of Will,90,67.5
4112,Treshala's Pendant,441,330.75
4113,Kravel's Scheme,62,46.5
4114,Fizzle Brassbolts' Letter,368,276
4115,Ring of Uber Resists (TEST),143.67,107.7525
4116,Kenata's Head,37.6,28.2
4117,Fardel's Head,26.33,19.7475
4118,Marcel's Head,16.8,12.6
4119,Indurium Ore,6.29,4.7175
4120,Mok'Morokk's Snuff,218,163.5
4121,Mok'Morokk's Grog,45.5,34.125
4122,Mok'Morokk's Strongbox,23,17.25
4123,Steelsnap's Rib,132.67,99.5025
4124,Kodo Skin Scroll,112.5,84.375
4125,Searing Tongue,7,5.25
4126,Searing Heart,51.43,38.5725
4127,Unrefined Ore Sample,28,21
4128,Grenka's Claw,77.5,58.125
4129,Fragments of Rok'Alim,11,8.25
4130,Flank of Meat,42.22,31.665
4131,Korran's Sealed Note,119.5,89.625
4132,Mirefin Head,58,43.5
4133,Hollow Vulture Bone,42.6,31.95
4134,Crate of Crash Helmets,31,23.25
4135,Belgrom's Sealed Note,34.43,25.8225
4136,Cozzle's Key,93,69.75
4137,Fuel Regulator Blueprints,22.83,17.1225
4138,Intact Silithid Carapace,10.88,8.16
4139,Silithid Talon,77.5,58.125
4140,Silithid Heart,91.5,68.625
4141,Gnome Prize Box,46.63,34.9725
4142,Goblin Prize Box,33.38,25.035
4143,Party Grenade,123,92.25
4144,Legacy of the Aspects,482,361.5
4145,Beginnings of the Undead Threat,416,312
4146,Seaforium Booster,425,318.75
4147,Guild Charter,2,1.5
4148,Gray Ram,11.25,8.4375
4149,Modified Seaforium Booster,29.6,22.2
4150,Sample of Indurium Ore,8.44,6.33
4151,Etched Phial,19,14.25
4152,Filled Etched Phial,84.67,63.5025
4153,Cloven Hoof,71,53.25
4154,Brown Ram,128.33,96.2475
4155,White Ram,140.5,105.375
4156,Blueleaf Tuber,12.29,9.2175
4157,Cracked Silithid Carapace,189,141.75
4158,Super Snuff,30.83,23.1225
4159,Twilight Pendant,2.25,1.6875
4160,Crate With Holes,84.5,63.375
4161,Head of Kelris,11.75,8.8125
4162,Captain's Documents,250,187.5
4163,Forked Mudrock Tongue,59.33,44.4975
4164,Unpopped Darkmist Eye,46,34.5
4165,Snufflenose Owner's Manual,338,253.5
4166,Spy's Report,56.2,42.15
4167,Defiant Orc Head,9,6.75
4168,Blackened Iron Shield,40.9,30.675
4169,Animal Skin Belt,113.5,85.125
4170,Pristine Crawler Leg,28,21
4171,Sewing Gloves,35.7,26.775
4172,Bone Buckler,46.75,35.0625
4173,Brass Scale Pants,0.33,0.2475
4174,Jeweled Pendant,5,3.75
4175,Rift Bracers,47,35.25
4176,Greaves of the People's Militia,79.17,59.3775
4177,Deadmire's Tooth,36.5,27.375
4178,Sealed Note to Elling,2.33,1.7475
4179,Defias Docket,111.5,83.625
4180,Letter to Jorgen,5.6,4.2
4181,Reethe's Badge,17.6,13.2
4182,Moist Towelette,43.5,32.625
4183,Corrupted Brain Stem,500,375
4184,Blacksmith Hammer,42.83,32.1225
4185,Handstitched Leather Vest,42.44,31.83
4186,Fine Leather Pants,65.25,48.9375
4187,Acidic Venom Sac,487,365.25
4188,Sealed Note to Watcher Backus,13.67,10.2525
4189,Dark Leather Pants,95.4,71.55
4190,Guardian Pants,13.67,10.2525
4191,Barbaric Leggings,111.5,83.625
4192,Barbaric Shoulders,66,49.5
4193,Guardian Cloak,48.4,36.3
4194,Guardian Gloves,93.6,70.2
4195,Girdle of Nobility,82.83,62.1225
4196,Rugged Boots,17.1,12.825
4197,Regent's Cloak,39.88,29.91
4198,Serpent Gloves,40.57,30.4275
4199,Feathered Cape,52,39
4200,Pattern: Fine Leather Pants,162.67,122.0025
4201,Pattern: Barbaric Leggings,1.11,0.8325
4202,Pattern: Guardian Cloak,55.25,41.4375
4203,Ruffian Belt,28,21
4204,Guild Tabard,123.5,92.625
4205,Elixir of Water Breathing,122.5,91.875
4206,Elixir of Minor Defense,148.33,111.2475
4207,Stormpike's Request,130.33,97.7475
4208,Wolf Heart Sample,36.7,27.525
4209,Truesilver Bar,6.63,4.9725
4210,Giant Clam Scorcho,99,74.25
4211,Recipe: Giant Clam Scorcho,26.5,19.875
4212,Golden Scale Bracers,18.63,13.9725
4213,Steel Weapon Chain,38.38,28.785
4214,Iron Shield Spike,52.43,39.3225
4215,Iron Counterweight,104.33,78.2475
4216,Plans: Iron Shield Spike,40.22,30.165
4217,Plans: Iron Counterweight,17,12.75
4218,Plans: Steel Weapon Chain,3.44,2.58
4219,Plans: Golden Scale Coif,117,87.75
4220,Shadow Protection Potion,69.6,52.2
4221,Fire Protection Potion,5,3.75
4222,Frost Protection Potion,46.5,34.875
4223,Holy Protection Potion,51.5,38.625
4224,Nature Protection Potion,147.67,110.7525
4225,Recipe: Holy Protection Potion,184,138
4226,Recipe: Shadow Protection Potion,43.1,32.325
4227,Recipe: Fire Protection Potion,40,30
4228,Recipe: Frost Protection Potion,7.67,5.7525
4229,Recipe: Nature Protection Potion,2.6,1.95
4230,Blackened Leather Belt,410,307.5
4231,Nomadic Vest,59.63,44.7225
4232,Flax Bracers,3.8,2.85
4233,Graystone Bracers,313,234.75
4234,Heavy Cord Bracers,28.75,21.5625
4235,Cold Steel Gauntlets,57.14,42.855
4236,Miniature Platinum Discs,12,9
4237,Khadgar's Essays on Dimensional Convergence,77.8,58.35
4238,Khan Dez'hepah's Head,79,59.25
4239,Centaur Ear,38.6,28.95
4240,Recipe: Shadow Oil,40.43,30.3225
4241,Crudely Dried Meat,109.5,82.125
4242,Wolfskin Bracers,199,149.25
4243,Draenethyst Crystal,7,5.25
4244,Khan Jehn's Head,121.67,91.2525
4245,Khan Shaka's Head,54,40.5
4246,War Horn Mouthpiece,161,120.75
4247,Vimes' Report,11.56,8.67
4248,Tapered Pants,15.1,11.325
4249,Maraudine Key Fragment,29.89,22.4175
4250,Pikeman Shield,10,7.5
4251,Crude Charm,54,40.5
4252,Shadow Panther Heart,1.17,0.8775
4253,Mire Lord Fungus,21.17,15.8775
4254,Green Whelp Blood,38.14,28.605
4255,Broken Tears,32.86,24.645
4256,Stormwind Guard Leggings,281,210.75
4257,Footman Tunic,139,104.25
4258,Faustin's Truth Serum,70.2,52.65
4259,Chausses of Westfall,55.75,41.8125
4260,Zraedus' Brew,62.86,47.145
4261,Crate of Power Stones,22.29,16.7175
4262,Black Whelp Boots,7.4,5.55
4263,Orc Crusher,24.56,18.42
4264,Piercing Axe,25.56,19.17
4265,Wandering Boots,97,72.75
4266,Apprentice's Shirt,24.33,18.2475
4267,Acolyte's Shirt,237,177.75
4268,Neophyte's Robe,220,165
4269,Apprentice's Robe,74,55.5
4270,Squire's Shirt,3.67,2.7525
4271,Squire's Pants,43,32.25
4272,Neophyte's Robe,76.33,57.2475
4273,Recruit's Shirt,303,227.25
4274,Recruit's Pants,77,57.75
4275,Recruit's Boots,70.5,52.875
4276,Novice's Robe,96.75,72.5625
4277,Novice's Pants,107.5,80.625
4278,Brawler's Harness,176,132
4279,Trapper's Pants,33,24.75
4280,Trapper's Boots,75.33,56.4975
4281,Acolyte's Robe,60.67,45.5025
4282,Trapper's Shirt,42.63,31.9725
4283,Primitive Mantle,62.8,47.1
4284,Primitive Kilt,52,39
4285,Trapper's Shirt,115,86.25
4286,Thug Pants,64.25,48.1875
4287,Trapper's Boots,360,270
4288,Novice's Robe,23.67,17.7525
4289,Apprentice's Robe,93.8,70.35
4290,Neophyte's Robe,68,51
4291,Clarice's Pendant,279,209.25
4292,Sundried Driftwood,152,114
4293,Ratty Old Belt,428,321
4294,Web-Covered Boots,141.5,106.125
4295,Greater Mana Potion,40.33,30.2475
4296,Coyote Jawbone,10.88,8.16
4297,Neeka's Report,21.25,15.9375
4298,Sawtooth Snapper Claw,41.5,31.125
4299,Unprepared Sawtooth Flank,110,82.5
4300,Wizards' Reagents,11,8.25
4301,Wolf Handler Gloves,31.13,23.3475
4302,Lost Supplies,66.33,49.7475
4303,Snow Boots,98.6,73.95
4304,Atal'ai Artifact,40,30
4305,Dwarven Kite Shield,24.67,18.5025
4306,Ironwrought Bracers,2,1.5
4307,Shipment to Nethergarde,112,84
4308,Privateer's Cape,157.33,117.9975
4309,Slarkskin,43,32.25
4310,Fetish of Hakkar,46.1,34.575
4311,Monstrous Crawler Leg,37.67,28.2525
4312,Bear Shawl,51.13,38.3475
4313,Trogg Slicer,31.67,23.7525
4314,Dwarven Defender,38.86,29.145
4315,Mud Stompers,54.57,40.9275
4316,Durable Chain Shoulders,126,94.5
4317,Draenethyst Shard,20.6,15.45
4318,Kimbra Boots,202.5,151.875
4319,Bundle of Atal'ai Artifacts,33.17,24.8775
4320,Barreling Reaper,36.4,27.3
4321,Wax-Polished Armor,86,64.5
4322,Loch Croc Hide Vest,212,159
4323,Jurassic Wristguards,68.83,51.6225
4324,Black Widow Band,10,7.5
4325,Garneg's War Belt,36.5,27.375
4326,Lithe Boots,78,58.5
4327,Fingerless Gloves,0.5,0.375
4328,Thuggish Shield,61.67,46.2525
4329,Tribal Worg Helm,20.67,15.5025
4330,Burrowing Shovel,158,118.5
4331,Rock Chipper,32.9,24.675
4332,Recipe: Elixir of Ogre's Strength,73,54.75
4333,Head of Jammal'an,156,117
4334,Heavy Copper Maul,298,223.5
4335,Balanced Fighting Stick,195,146.25
4336,Copper Rod,62.67,47.0025
4337,Runed Copper Rod,13.63,10.2225
4338,Arclight Spanner,20.5,15.375
4339,Meteor Shard,84,63
4340,Crest of Darkshire,73,54.75
4341,Bloody Apron,235.5,176.625
4342,Brown Linen Robe,60.33,45.2475
4343,Red Linen Vest,21.7,16.275
4344,Blue Linen Vest,20.13,15.0975
4345,White Linen Robe,0.57,0.4275
4346,Blue Linen Robe,344,258
4347,Green Woolen Robe,95.4,71.55
4348,Karnitol's Satchel,49.33,36.9975
4349,Hatefury Claw,477,357.75
4350,Hatefury Horn,16,12
4351,Scorpashi Venom,28,21
4352,Aged Kodo Hide,108.33,81.2475
4353,Felhound Brain,26.67,20.0025
4354,Nether Wing,47.5,35.625
4355,Doomwarder Blood,45.9,34.425
4356,Leftwitch's Package,134,100.5
4357,Fishing Pole,57.29,42.9675
4358,Roc Gizzard,54,40.5
4359,Ironfur Liver,8.71,6.5325
4360,Groddoc Liver,99,74.25
4361,Blue Dye,40,30
